State_x,County_x,Obesity_Rate,FIPS,fast_food_density
GA,Hart,36.1,13147,0.53018254
GA,Gwinnett,33.3,13135,0.972813189
GA,Barrow,39.9,13013,0.490722984
CO,Lake,26.2,8065,0.500813842
CO,Eagle,22.6,8037,0.928471327
FL,Baker,37.6,12003,0.541162133
FL,Holmes,36.3,12059,0.25518015
CO,Rio Blanco,27.9,8103,0.630715847
GA,Jeff Davis,41.3,13161,0.65733254
CO,Morgan,31.3,8087,0.760167241
FL,Volusia,33.9,12127,0.605524182
CO,Las Animas,31.6,8071,1.248266339
GA,Lee,36.7,13177,0.496130198
CO,Phillips,30.6,8095,0.686970472
FL,Walton,31.1,12131,0.782799304
GA,Bryan,37.1,13029,0.736105978
CO,Yuma,27.9,8125,0.298596591
CO,Grand,24.9,8049,1.07635808
CO,Summit,22.7,8117,1.632333279
GA,Grady,41.8,13131,0.653301239
FL,Franklin,37.6,12037,0.409802467
GA,Dade,36.0,13083,0.747337639
GA,Forsyth,31.3,13117,0.68966341
GA,Fulton,30.0,13121,1.132353544
FL,Charlotte,34.4,12015,0.400593698
FL,Calhoun,43.6,12013,0.497229725
GA,Dodge,44.6,13091,0.488949746
CO,Elbert,25.0,8039,0.183063015
FL,Highlands,36.2,12055,0.478249043
CO,Pitkin,21.1,8097,1.341231704
GA,Bibb,48.5,13021,1.185043573
CO,Kit Carson,30.2,8063,0.983008027
GA,Clarke,37.0,13059,0.970304012
CO,Huerfano,28.7,8055,0.581141949
FL,Bradford,38.8,12007,0.559577525
FL,Manatee,33.9,12081,0.481495261
GA,Cobb,28.9,13067,0.965994895
FL,Palm Beach,30.5,12099,0.659326077
GA,Elbert,42.4,13105,0.5689165
CO,Pueblo,31.4,8101,0.61240232
GA,Glynn,35.9,13127,1.005048633
FL,Hendry,38.6,12051,0.490505219
CA,Yolo,28.5,6113,0.709968686
GA,Bacon,41.3,13005,0.996737957
GA,Jenkins,44.5,13165,0.914703846
GA,Carroll,36.9,13045,0.830366731
FL,Duval,33.1,12031,0.869944811
FL,Union,42.5,12125,0.263469905
GA,Franklin,36.7,13119,0.850919008
GA,Chattahoochee,43.1,13053,0.568666458
FL,Miami-Dade,30.3,12086,0.653417826
DE,Kent,39.3,10001,0.62076962
GA,Douglas,42.8,13097,0.810876548
GA,Jones,39.9,13169,0.277903229
GA,Cook,40.7,13075,0.867503345
FL,Hernando,33.4,12053,0.523159862
DE,Sussex,38.6,10005,0.765617549
GA,Evans,44.8,13109,0.846023679
GA,Lincoln,37.5,13181,0.373552471
FL,Taylor,42.8,12123,0.694444418
FL,Citrus,34.5,12017,0.450950921
FL,Santa Rosa,31.1,12113,0.586869955
CA,Trinity,32.4,6105,0.491159141
GA,Colquitt,40.4,13071,0.658732593
GA,Fayette,31.3,13113,0.975643456
GA,Gilmer,36.7,13123,0.656701505
GA,Henry,39.3,13151,0.790335357
FL,Jefferson,37.9,12065,0.481331229
GA,Banks,36.7,13011,0.723439455
CO,Logan,30.0,8075,0.591608286
GA,Cherokee,35.1,13057,0.64838618
GA,Appling,40.7,13001,0.763983607
GA,Ben Hill,41.9,13017,0.662092209
CO,Ouray,24.8,8091,1.199760079
GA,Atkinson,42.1,13003,0.595734537
GA,Jasper,39.5,13159,0.483325273
FL,Polk,41.6,12105,0.525148034
FL,Levy,38.5,12075,0.544842958
FL,Lake,34.8,12069,0.476707906
GA,Lanier,41.1,13173,0.465679437
CO,La Plata,24.8,8067,0.990028977
ID,Power,37.7,16077,0.523354709
GA,Murray,38.0,13213,0.674460411
IL,McHenry,34.2,17111,0.768255055
GA,Toombs,42.5,13279,1.075149179
GA,Morgan,36.1,13211,0.967610538
GA,Pickens,36.7,13227,0.633924007
ID,Caribou,32.8,16029,0.421170861
GA,Treutlen,43.4,13283,0.439753741
IL,Wayne,37.1,17191,0.436653972
IL,Mason,35.2,17125,0.607302845
HI,Honolulu,26.2,15003,1.046869397
HI,Maui,24.1,15009,0.750437737
ID,Teton,28.8,16081,0.319974393
GA,Towns,37.0,13281,0.816526473
IN,Clay,42.3,18021,0.495313585
IL,Massac,38.0,17127,0.80668819
IL,Cass,38.5,17017,0.670859516
IL,Crawford,36.8,17033,0.756266177
GA,Madison,39.0,13195,0.459664434
GA,Wayne,41.3,13305,0.732771516
IN,Boone,35.5,18011,0.6200701
IL,Washington,35.8,17189,0.508573115
IL,Adams,39.5,17001,0.52482903
IL,Alexander,43.0,17003,0.545752227
IL,Moultrie,35.6,17139,0.209102944
IL,Kankakee,40.3,17091,0.801149249
ID,Bonneville,35.2,16019,0.671393692
GA,Tattnall,46.1,13267,0.512517273
IL,Champaign,35.5,17019,0.874794424
IL,DeKalb,35.7,17037,0.880458593
IL,McDonough,39.3,17109,0.853387952
IL,Shelby,37.2,17173,0.469505608
GA,Oconee,32.9,13219,0.778134406
IN,Bartholomew,34.0,18005,0.793397069
IL,Clinton,35.3,17027,0.534787953
GA,Troup,41.5,13285,0.854530454
ID,Washington,38.5,16087,0.772200763
ID,Payette,37.4,16075,0.282588512
ID,Benewah,34.0,16009,0.636267245
IN,Floyd,36.4,18043,0.861457407
GA,Mitchell,46.8,13205,0.648088157
IL,Marion,38.5,17121,0.620866537
GA,Upson,41.7,13293,0.753948808
IL,De Witt,36.5,17039,0.780843318
GA,Stephens,37.5,13257,0.651166379
IL,Wabash,37.6,17185,0.714924037
GA,Thomas,38.7,13275,0.8563959
IL,Lee,37.5,17103,0.624126971
IN,Adams,40.0,18001,0.502246141
IL,Iroquois,38.3,17075,0.524128616
IL,Winnebago,38.5,17201,0.782097101
IL,Greene,37.5,17061,0.708549857
IL,Livingston,38.2,17105,0.508273542
ID,Gooding,37.4,16047,0.512229502
GA,Telfair,45.6,13271,0.506938696
ID,Bonner,26.7,16017,0.576713562
ID,Nez Perce,35.5,16069,0.760642886
IL,Jo Daviess,34.2,17085,0.47083196
IL,Madison,35.8,17119,0.753898025
IL,Jefferson,38.8,17081,0.832550049
GA,Seminole,42.4,13253,0.372208446
IL,Williamson,38.4,17199,0.798012495
IL,Montgomery,36.2,17135,0.641825616
IL,Vermilion,41.0,17183,0.561084747
GA,Long,41.3,13183,0.198304489
GA,Marion,39.9,13197,0.352278054
GA,Putnam,42.1,13237,0.444049746
GA,Tift,41.9,13277,1.129693747
IL,Bureau,37.8,17011,0.309568763
IL,Boone,39.5,17007,0.56842941
IL,Union,37.6,17181,0.66674751
IN,Allen,38.3,18003,0.748324752
IN,Brown,36.9,18013,0.33086288
GA,Meriwether,40.7,13199,0.378000379
GA,Pike,34.2,13231,0.418388158
GA,Newton,42.3,13217,0.644335568
IL,Tazewell,35.2,17179,0.80289346
IL,Lawrence,37.8,17101,0.452576458
IL,Douglas,36.7,17041,0.871348023
GA,Muscogee,41.7,13215,1.186100721
IL,Clark,35.0,17023,1.047943354
IL,Will,36.6,17197,0.746305525
IL,Saline,39.6,17165,0.819601417
IL,Pike,37.3,17149,0.393726617
ID,Owyhee,34.6,16073,0.741778612
IL,Edgar,37.4,17045,0.771147251
IL,Edwards,37.2,17047,0.471994966
ID,Boundary,30.9,16021,0.474083453
IN,Elkhart,42.5,18039,0.727586687
IL,Macon,37.1,17115,0.708634675
IL,Whiteside,35.3,17195,0.622072577
ID,Twin Falls,36.5,16083,0.848310709
IL,Hancock,35.1,17067,0.459189534
IL,Grundy,35.1,17063,0.960916221
IL,Mercer,36.8,17131,0.394088656
HI,Kauai,22.8,15007,1.155168295
IL,Cumberland,37.2,17035,0.375622123
IN,Blackford,37.5,18009,0.594126642
IN,Franklin,37.7,18047,0.702956796
ID,Bear Lake,33.6,16007,0.651147664
IL,Perry,39.5,17145,0.580720067
ID,Kootenai,34.3,16055,0.726727128
IN,Cass,40.3,18017,0.748903394
IL,Rock Island,37.4,17161,0.844528675
ID,Blaine,25.5,16013,1.109877944
IL,Lake,31.9,17097,0.831900001
GA,Walton,35.8,13297,0.547096789
GA,Oglethorpe,36.0,13221,0.260027289
ID,Shoshone,34.8,16079,0.387266666
IN,Fountain,39.0,18045,0.666222513
GA,Walker,41.8,13295,0.356552005
ID,Madison,36.6,16065,0.967309892
ID,Jefferson,37.2,16051,0.359700471
IL,Jackson,39.0,17077,0.670489609
IL,Henry,34.7,17073,0.495755106
ID,Elmore,36.5,16039,0.510055363
GA,Terrell,47.1,13273,0.586647868
GA,Wilkes,43.9,13317,0.515782952
IL,Richland,37.4,17159,0.838331103
IN,Dearborn,35.1,18029,0.582048833
ID,Jerome,40.1,16053,0.569615126
GA,Whitfield,36.9,13313,0.847482085
HI,Hawaii,26.0,15001,0.786859453
IL,Bond,37.6,17005,0.430451363
GA,Washington,43.0,13303,0.645161271
IL,Christian,36.4,17021,0.46765393
IN,Carroll,38.8,18015,0.444927812
GA,Lumpkin,35.1,13187,0.526531339
ID,Custer,32.8,16037,1.176747441
IL,Ogle,35.9,17141,0.715620399
IL,Carroll,36.0,17015,0.351098925
IL,Kendall,36.4,17093,0.635343492
IL,Fayette,37.2,17051,0.564334095
IL,Logan,38.8,17107,0.458020657
ID,Ada,28.7,16001,0.768609941
IL,Randolph,37.7,17157,0.70173198
ID,Valley,33.5,16085,1.356852055
ID,Bannock,36.8,16005,0.709499419
GA,Screven,42.3,13251,0.428204387
GA,Rockdale,44.9,13247,1.022663593
GA,Sumter,44.0,13261,0.819616139
IL,Warren,37.7,17187,0.419262111
GA,Randolph,48.6,13243,0.598623157
ID,Minidoka,34.8,16067,0.235671192
IL,Woodford,34.2,17203,0.525058389
ID,Bingham,41.1,16011,0.466081947
IL,Effingham,35.5,17049,1.115514517
ID,Latah,29.1,16057,0.808229268
IL,DuPage,29.4,17043,0.958058
GA,Polk,41.7,13233,0.770308137
IL,Marshall,37.0,17123,0.618976057
IN,Daviess,38.3,18027,0.447694361
IN,Delaware,39.8,18035,0.793273032
IL,Kane,37.3,17089,0.66665411
IL,Henderson,37.2,17071,0.45906657
ID,Fremont,33.7,16043,0.756544113
IL,Schuyler,39.3,17169,0.445235968
IL,Johnson,36.5,17087,0.566434681
IL,Hamilton,37.8,17065,0.494804561
GA,Lowndes,39.5,13185,0.955457091
IL,Morgan,37.3,17137,0.74850297
GA,Ware,39.5,13299,1.11650753
GA,McDuffie,43.7,13189,1.039599299
IN,Clark,41.2,18019,0.846846521
GA,Pierce,39.6,13229,0.66591537
GA,Macon,48.3,13193,0.550660789
IN,DeKalb,37.5,18033,0.641172409
GA,Peach,42.7,13225,0.966010749
ID,Canyon,37.7,16027,0.480905116
GA,Turner,43.7,13287,1.014970779
IL,Sangamon,38.3,17167,0.97481972
IL,Macoupin,38.1,17117,0.403886288
IL,Monroe,32.6,17133,0.5757218
IN,Dubois,38.4,18037,0.822716355
GA,Spalding,40.2,13255,0.801020563
GA,Rabun,36.7,13241,0.926301181
GA,Worth,39.1,13321,0.450630873
IN,Fayette,41.1,18041,0.829984248
GA,Union,37.1,13291,0.709835172
GA,Paulding,38.5,13223,0.484543622
IL,Clay,38.3,17025,0.841042876
IL,LaSalle,36.6,17099,0.650732994
IL,Coles,38.5,17029,0.873310447
ID,Idaho,32.6,16049,0.416097015
GA,McIntosh,41.8,13191,0.834086299
ID,Cassia,38.6,16031,0.906207502
IL,Brown,40.6,17009,0.611060202
ID,Lemhi,32.9,16059,0.496647626
ID,Gem,31.4,16045,0.588140965
GA,Montgomery,42.7,13209,0.332889467
IL,Franklin,39.6,17055,0.709406197
GA,Taylor,42.7,13269,0.371563047
IL,Piatt,33.8,17147,0.550290406
ID,Franklin,33.1,16041,0.562785804
IL,McLean,35.4,17113,0.811650395
IN,Clinton,39.1,18023,0.683102548
GA,Monroe,37.7,13207,0.570572734
IL,Cook,32.8,17031,0.899715066
ID,Oneida,32.2,16071,1.106194735
IL,St. Clair,38.2,17163,0.759554505
IL,Menard,35.3,17129,0.41431886
GA,Pulaski,43.5,13235,0.893575191
IL,Stephenson,42.1,17177,0.501927853
ID,Clearwater,32.8,16035,0.452181786
GA,White,35.5,13311,0.739692569
IL,Jasper,35.0,17079,0.633914411
IL,Jersey,37.8,17083,0.647668421
IL,Ford,38.0,17053,0.617808342
IL,Knox,38.8,17095,0.835830629
IN,Benton,40.3,18007,0.343210161
IL,Peoria,35.6,17143,0.782428563
IL,Fulton,39.3,17057,0.474918365
IN,Decatur,41.6,18031,0.752332211
IL,White,38.1,17193,0.374139488
GA,Richmond,44.4,13245,0.851152301
IA,Howard,37.3,19089,0.435919791
IN,Vanderburgh,39.3,18163,0.942739546
IN,Madison,39.6,18095,0.562919796
IN,Newton,41.5,18111,0.431437403
IN,Fulton,41.8,18049,0.499550402
KS,Marion,38.7,20115,0.429110885
IN,St. Joseph,37.8,18141,0.747742057
IN,Jennings,41.8,18079,0.436125755
IA,Clay,40.6,19041,1.001502275
KS,Atchison,40.5,20005,0.37464878
IA,Woodbury,38.5,19193,0.862921536
IN,Warrick,39.8,18173,0.426749289
IN,Pike,41.7,18125,0.242365494
IA,Ida,37.3,19093,0.585394382
IA,Pocahontas,37.2,19151,0.454063863
IA,Carroll,42.0,19027,0.753238916
IA,Greene,41.5,19073,0.454803854
IN,Wayne,39.4,18177,0.668916643
IN,Porter,37.0,18127,0.731079638
KS,Ford,38.7,20057,0.604339182
IA,Cedar,38.3,19031,0.378685415
KS,Jackson,43.3,20085,0.531470656
IA,Winnebago,39.0,19189,0.291913986
IN,Hamilton,27.9,18057,0.795960963
